ID,Al,Co,Cr,Cu,Fe,Ni,HV
1,0.058823529,0.235294118,0.235294118,0,0.235294118,0.235294118,110
2,0.024390244,0.243902439,0.243902439,0,0.243902439,0.243902439,118
4,0.090909091,0.227272727,0.227272727,0,0.227272727,0.227272727,127
5,0.085714286,0.228571429,0.228571429,0,0.228571429,0.228571429,131
7,0,0.25,0.25,0,0.25,0.25,139
8,0,0.266533066,0.266533066,0,0.266533066,0.200400802,140
9,0,0,0.25,0.25,0.25,0.25,143
11,0.069767442,0,0.23255814,0,0.23255814,0.465116279,149
12,0,0.1,0.225,0.225,0.225,0.225,150
14,0,0.25,0,0.25,0.25,0.25,154
16,0,0.166666667,0.166666667,0.166666667,0.333333333,0.166666667,157
18,0,0.225,0.1,0.225,0.225,0.225,158
19,0,0.166666667,0.166666667,0.166666667,0.166666667,0.333333333,158
20,0,0.21257485,0.149700599,0.21257485,0.21257485,0.21257485,161
21,0.038461538,0,0.192307692,0.192307692,0.192307692,0.384615385,162
22,0.142857143,0.428571429,0,0.142857143,0.142857143,0.142857143,166
25,0.056603774,0,0.188679245,0.188679245,0.188679245,0.377358491,170
27,0,0.283358321,0.283358321,0,0.283358321,0.149925037,170
28,0,0.21257485,0.21257485,0.21257485,0.149700599,0.21257485,171
29,0,0.166666667,0.333333333,0.166666667,0.166666667,0.166666667,172
30,0,0.225,0.225,0.225,0.1,0.225,172
32,0,0.2375,0.2375,0.2375,0.05,0.2375,182
33,0,0.25,0.25,0.25,0,0.25,183
35,0.074074074,0,0.185185185,0.185185185,0.185185185,0.37037037,200
36,0.142857143,0.285714286,0,0,0.285714286,0.285714286,205
37,0.090909091,0.181818182,0.181818182,0.181818182,0.181818182,0.181818182,207
38,0.125,0.125,0.125,0,0.125,0.5,225
39,0.111111111,0,0.222222222,0,0.222222222,0.444444444,229
40,0.090909091,0,0.181818182,0.181818182,0.181818182,0.363636364,238
41,0.142857143,0.142857143,0.142857143,0,0.142857143,0.428571429,242
42,0.166666667,0.333333333,0,0.166666667,0.166666667,0.166666667,249
46,0.08,0.17,0.17,0.08,0.17,0.33,280
47,0.122807018,0,0.175438596,0.175438596,0.175438596,0.350877193,290
48,0.153846154,0.307692308,0.153846154,0.076923077,0.153846154,0.153846154,295
49,0.0625,0,0.3125,0,0.46875,0.15625,304
50,0.153846154,0.153846154,0.153846154,0.076923077,0.153846154,0.307692308,310
51,0.137931034,0,0.172413793,0.172413793,0.172413793,0.344827586,315
53,0.14893617,0.212765957,0.212765957,0,0.212765957,0.212765957,338
55,0.166666667,0.166666667,0.166666667,0.083333333,0.166666667,0.25,358
56,0.181818182,0.272727273,0,0.181818182,0.181818182,0.181818182,366
57,0.181818182,0.181818182,0.090909091,0.181818182,0.181818182,0.181818182,367
58,0.185185185,0,0.185185185,0.185185185,0.185185185,0.259259259,370
59,0.166666667,0,0.555555556,0,0,0.277777778,371
60,0.2,0.266666667,0,0,0.266666667,0.266666667,380
61,0.111111111,0,0.222222222,0.222222222,0.222222222,0.222222222,382
64,0.166666667,0,0.166666667,0.166666667,0.166666667,0.333333333,392
65,0.192307692,0,0.192307692,0.192307692,0.192307692,0.230769231,408
66,0.2,0.2,0.2,0.2,0,0.2,415
68,0.181818182,0.181818182,0.181818182,0.181818182,0.181818182,0.090909091,423
69,0.25,0.25,0,0,0.25,0.25,430
70,0.2375,0.2375,0.05,0,0.2375,0.2375,438
71,0.1,0,0.35,0.24,0.05,0.26,441
72,0.117647059,0,0.294117647,0,0.441176471,0.147058824,450
73,0.166666667,0.25,0.166666667,0.083333333,0.166666667,0.166666667,451
74,0.1,0,0.35,0.26,0.05,0.24,454
75,0.13,0,0.28,0.22,0.06,0.31,459
76,0.12,0,0.31,0.21,0.05,0.31,469
77,0.11,0,0.28,0.27,0.06,0.28,469
79,0.181818182,0.090909091,0.181818182,0.181818182,0.181818182,0.181818182,473
80,0.050251256,0.316582915,0.316582915,0,0.316582915,0,475
82,0.225,0.225,0.1,0,0.225,0.225,476
85,0.230769231,0.192307692,0.192307692,0,0.192307692,0.192307692,479
87,0.12,0,0.31,0.2,0.05,0.32,483
88,0.208333333,0,0.208333333,0.208333333,0.208333333,0.166666667,486
89,0.238095238,0.19047619,0.19047619,0,0.19047619,0.19047619,487
91,0.11,0,0.29,0.29,0.05,0.26,495
92,0.181818182,0.181818182,0.181818182,0,0.181818182,0.272727273,503
93,0.230769231,0.153846154,0.153846154,0.153846154,0.153846154,0.153846154,510
94,0.21257485,0.21257485,0.149700599,0,0.21257485,0.21257485,510
95,0.166666667,0.166666667,0.166666667,0,0.333333333,0.166666667,510
97,0.2,0.2,0.2,0,0.2,0.2,516
98,0.193548387,0,0.161290323,0.161290323,0.161290323,0.322580645,521
99,0.183673469,0.204081633,0.204081633,0,0.204081633,0.204081633,527
101,0.166666667,0.333333333,0.166666667,0,0.166666667,0.166666667,532
103,0.2,0.2,0,0.2,0.2,0.2,536
104,0.166666667,0.166666667,0.166666667,0.083333333,0.25,0.166666667,537
105,0.179487179,0.205128205,0.205128205,0,0.205128205,0.205128205,538
107,0.264705882,0,0.147058824,0.147058824,0.147058824,0.294117647,544
108,0.222222222,0.111111111,0,0.222222222,0.222222222,0.222222222,545
109,0.230769231,0,0.153846154,0.153846154,0.153846154,0.307692308,546
110,0.2,0.2,0.1,0.1,0.2,0.2,546
111,0.225,0.225,0.225,0,0.225,0.1,548
112,0.242424242,0,0.151515152,0.151515152,0.151515152,0.303030303,550
113,0.2375,0.05,0.2375,0,0.2375,0.2375,550
114,0.2,0.1,0.2,0.1,0.2,0.2,551
115,0.21257485,0.21257485,0.21257485,0,0.21257485,0.149700599,555
116,0.264705882,0.147058824,0.147058824,0.147058824,0.147058824,0.147058824,558
117,0.21257485,0.21257485,0.21257485,0,0.149700599,0.21257485,558
118,0.285714286,0,0.142857143,0.142857143,0.142857143,0.285714286,567
120,0.305555556,0,0.138888889,0.138888889,0.138888889,0.277777778,576
121,0.285714286,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,576
122,0.23,0.15,0.23,0.08,0.15,0.16,580
123,0.222222222,0.222222222,0,0.111111111,0.222222222,0.222222222,584
124,0.2,0.2,0.2,0.1,0.1,0.2,586
125,0.225,0.225,0.225,0,0.1,0.225,587
126,0.428571429,0.142857143,0.071428571,0.071428571,0.071428571,0.214285714,591
127,0.333333333,0,0.133333333,0.133333333,0.133333333,0.266666667,593
129,0.25,0.166666667,0.166666667,0.083333333,0.166666667,0.166666667,602
131,0.2,0.2,0.2,0.1,0.2,0.1,604
132,0.153846154,0.153846154,0.307692308,0.076923077,0.153846154,0.153846154,607
133,0.307692308,0.153846154,0.153846154,0.076923077,0.153846154,0.153846154,609
134,0.2375,0.2375,0.2375,0,0.2375,0.05,615
135,0.166666667,0.166666667,0.333333333,0,0.166666667,0.166666667,617
136,0.1,0.3,0.3,0,0.3,0,620
138,0.222222222,0.222222222,0.222222222,0.111111111,0.222222222,0,639
139,0.333333333,0,0.166666667,0.166666667,0.166666667,0.166666667,651
140,0.358974359,0.128205128,0.128205128,0.128205128,0.128205128,0.128205128,655
141,0.149925037,0.283358321,0.283358321,0,0.283358321,0,655
142,0.2375,0.2375,0.2375,0,0.05,0.2375,665
143,0.428571429,0.071428571,0.142857143,0.071428571,0.142857143,0.142857143,694
144,0.384615385,0.153846154,0.153846154,0,0.153846154,0.153846154,695
145,0.200400802,0.266533066,0.266533066,0,0.266533066,0,695
146,0.428571429,0.214285714,0.071428571,0.071428571,0.071428571,0.142857143,701
147,0.461538462,0.153846154,0.076923077,0.076923077,0.153846154,0.076923077,702
148,0.25,0.25,0.25,0,0,0.25,712
150,0.428571429,0.142857143,0.142857143,0.071428571,0.071428571,0.142857143,720
152,0.428571429,0.142857143,0.142857143,0,0.142857143,0.142857143,740
153,0.43204983,0.059456399,0.332955832,0.056625142,0.059456399,0.059456399,764
154,0.4,0.133333333,0.066666667,0.133333333,0.2,0.066666667,768
155,0.4,0.2,0.2,0,0.2,0,775
